rank, word, score, target
83,rugby,-0.212636,violence
84,glèbe,-0.215822,violence
85,doxa,-0.219001,violence
86,abel,-0.220322,violence
87,haïs,-0.221960,violence
88,burke,-0.224677,violence
89,déni,-0.225056,violence
90,islamo,-0.226186,violence
91,tabou,-0.226780,violence
92,weak,-0.227097,violence
93,épée,-0.230313,violence
94,known,-0.230318,violence
95,rock,-0.231106,violence
96,lévi,-0.232636,violence
97,clip,-0.233828,violence
98,gang,-0.236469,violence
99,rings,-0.238126,violence
100,love,-0.238660,violence
1,test,0.000001,test
2,blot,-0.033464,test
3,olga,-0.077164,test
4,zaghawa,-0.089819,test
5,healthy,-0.092063,test
6,buch,-0.103545,test
7,kosovo,-0.116284,test
8,bukowski,-0.121337,test
9,welt,-0.132456,test
10,shop,-0.133171,test
11,djihad,-0.143371,test
12,mp3,-0.145774,test
13,news,-0.148623,test
14,build,-0.154090,test
15,rugby,-0.164724,test
16,helix,-0.164982,test
17,ikea,-0.165624,test
18,pdf,-0.171076,test
19,blood,-0.176414,test
20,rdv,-0.178845,test
21,sky,-0.181378,test
22,kosovar,-0.186743,test
23,15h40,-0.187553,test
24,oswald,-0.192049,test
25,19h35,-0.192583,test
26,flex,-0.197961,test
27,scott,-0.200043,test
28,task,-0.200550,test
29,zoom,-0.200732,test
30,health,-0.202365,test
31,km2,-0.202836,test
32,niqab,-0.212082,test
33,tyrol,-0.213188,test
34,web,-0.214258,test
35,clip,-0.216045,test
36,wilhelm,-0.217293,test
37,rudolf,-0.218245,test
38,jack,-0.219065,test
39,myths,-0.219147,test
40,run,-0.221010,test
41,karl,-0.221033,test
42,vax,-0.223785,test
43,hidalgo,-0.224213,test
44,vídeo,-0.227658,test
45,afp,-0.229550,test
46,smith,-0.230155,test
47,eco,-0.232191,test
48,bock,-0.234779,test
49,burke,-0.234915,test
50,tags,-0.235994,test
51,study,-0.236264,test
52,fuoco,-0.236462,test
53,rings,-0.236962,test
54,kings,-0.237882,test
55,ccif,-0.240422,test
56,york,-0.240428,test
57,weak,-0.240472,test
58,lys,-0.241615,test
59,75006,-0.242557,test
60,shows,-0.246520,test
61,erik,-0.247268,test
62,key,-0.249681,test
63,scudo,-0.250151,test
64,ludwig,-0.250213,test
65,ehpad,-0.257315,test
66,show,-0.257899,test
67,1859,-0.258334,test
68,rush,-0.258686,test
69,high,-0.259155,test
70,hijab,-0.259185,test
71,bac,-0.260526,test
72,bob,-0.261320,test
73,khan,-0.262056,test
74,75011,-0.262577,test
75,της,-0.264844,test
76,pic,-0.266038,test
77,kop,-0.267226,test
78,thread,-0.267424,test
79,fsspx,-0.267526,test
80,snow,-0.267658,test
81,bio,-0.269941,test
82,17h45,-0.270472,test
83,black,-0.270838,test
84,1912,-0.271544,test
85,1921,-0.272118,test
86,robot,-0.272160,test
87,gioco,-0.273742,test
88,goods,-0.273808,test
89,god,-0.274348,test
90,roy,-0.274449,test
91,1913,-0.274471,test
92,konrad,-0.276047,test
93,questionnaire,-0.276563,test
94,zona,-0.276899,test
95,duty,-0.277292,test
96,neo,-0.278668,test
97,1099,-0.280491,test
98,1901,-0.281400,test
99,myth,-0.281672,test
100,blake,-0.281863,test
