rank, score, target
11,news,-0.169994,test
12,ikea,-0.191008,test
13,welt,-0.193926,test
14,km2,-0.203793,test
15,rugby,-0.210534,test
16,mp3,-0.210755,test
17,rdv,-0.214797,test
18,kosovar,-0.220023,test
19,helix,-0.221781,test
20,build,-0.226802,test
21,afp,-0.234091,test
22,zoom,-0.242287,test
23,ehpad,-0.242991,test
24,pdf,-0.248216,test
25,niqab,-0.251511,test
26,health,-0.251618,test
27,fsspx,-0.251714,test
28,web,-0.253205,test
29,myths,-0.255147,test
30,hidalgo,-0.266723,test
31,eco,-0.270878,test
32,blood,-0.271633,test
33,tyrol,-0.273088,test
34,oswald,-0.276262,test
35,scott,-0.276324,test
36,task,-0.276477,test
37,lys,-0.278181,test
38,shows,-0.280575,test
39,smith,-0.281794,test
40,rudolf,-0.285932,test
41,flex,-0.286151,test
42,pdg,-0.286563,test
43,tags,-0.291494,test
44,75006,-0.291564,test
45,clip,-0.292005,test
46,wilhelm,-0.292011,test
47,bock,-0.293801,test
48,scudo,-0.294466,test
49,75011,-0.296619,test
50,burke,-0.296808,test
51,kings,-0.298402,test
52,sky,-0.300621,test
53,jack,-0.301483,test
54,york,-0.306175,test
55,rings,-0.307728,test
56,bio,-0.307762,test
57,duo,-0.308237,test
58,roy,-0.308818,test
59,bac,-0.309125,test
60,kop,-0.312114,test
61,karl,-0.323305,test
62,îlot,-0.323433,test
63,goods,-0.323868,test
64,ludwig,-0.324103,test
65,fuoco,-0.329182,test
66,tsar,-0.329880,test
67,study,-0.330730,test
68,pic,-0.332011,test
69,taxe,-0.332103,test
70,ego,-0.332440,test
71,thaï,-0.332829,test
72,vídeo,-0.336519,test
73,zona,-0.337193,test
74,hijab,-0.337643,test
75,ducs,-0.340232,test
76,khan,-0.340409,test
77,high,-0.340735,test
78,show,-0.342612,test
79,lgbt,-0.342771,test
80,gaz,-0.343009,test
81,robot,-0.346301,test
82,erik,-0.351706,test
83,key,-0.353560,test
84,duty,-0.353791,test
85,kadhafi,-0.355865,test
86,vélo,-0.355957,test
87,job,-0.356436,test
88,black,-0.358245,test
89,snow,-0.359101,test
90,slave,-0.359426,test
91,blake,-0.360338,test
92,75009,-0.360955,test
93,abbé,-0.361580,test
94,weak,-0.362384,test
95,gay,-0.365819,test
96,putsch,-0.368642,test
97,konrad,-0.368925,test
98,book,-0.369320,test
99,ccif,-0.371078,test
100,guyot,-0.371395,test
